,training_size,lines_per_pair,input_length,number_lines_gen,number_with_and,number_plagiarized,% plagiarized,% with and
0,20000,1,5,140,113,20,14.29%,80.71%
1,20000,1,10,140,111,19,13.57%,79.29%
2,20000,1,20,140,121,27,19.29%,86.43%
3,20000,1,40,140,112,27,19.29%,80.00%
4,20000,2,5,140,114,15,10.71%,81.43%
5,20000,2,10,140,111,21,15.00%,79.29%
6,20000,2,20,140,124,23,16.43%,88.57%
7,20000,2,40,140,123,15,10.71%,87.86%
8,20000,4,5,140,118,26,18.57%,84.29%
9,20000,4,10,140,116,28,20.00%,82.86%
10,20000,4,20,140,119,28,20.00%,85.00%
11,20000,4,40,140,123,30,21.43%,87.86%
12,20000,8,5,140,119,20,14.29%,85.00%
13,20000,8,10,140,121,19,13.57%,86.43%
14,20000,8,20,140,120,28,20.00%,85.71%
15,20000,8,40,140,123,19,13.57%,87.86%
16,40000,1,5,140,127,96,68.57%,90.71%
17,40000,1,10,140,127,105,75.00%,90.71%
18,40000,1,20,140,129,103,73.57%,92.14%
19,40000,1,40,140,128,107,76.43%,91.43%
20,40000,2,5,140,131,94,67.14%,93.57%
21,40000,2,10,140,129,96,68.57%,92.14%
22,40000,2,20,140,128,106,75.71%,91.43%
23,40000,2,40,140,132,100,71.43%,94.29%
24,40000,4,5,140,124,93,66.43%,88.57%
25,40000,4,10,140,126,93,66.43%,90.00%
26,40000,4,20,140,124,101,72.14%,88.57%
27,40000,4,40,140,123,110,78.57%,87.86%
28,40000,8,5,140,123,93,66.43%,87.86%
29,40000,8,10,140,129,102,72.86%,92.14%
30,40000,8,20,140,128,105,75.00%,91.43%
31,40000,8,40,140,124,107,76.43%,88.57%
32,80000,1,5,140,129,124,88.57%,92.14%
33,80000,1,10,140,128,125,89.29%,91.43%
34,80000,1,20,140,125,116,82.86%,89.29%
35,80000,1,40,140,130,122,87.14%,92.86%
36,80000,2,5,140,132,129,92.14%,94.29%
37,80000,2,10,140,123,128,91.43%,87.86%
38,80000,2,20,140,130,121,86.43%,92.86%
39,80000,2,40,140,128,128,91.43%,91.43%
40,80000,4,5,140,127,123,87.86%,90.71%
41,80000,4,10,140,129,128,91.43%,92.14%
42,80000,4,20,140,127,121,86.43%,90.71%
43,80000,4,40,140,133,128,91.43%,95.00%
44,80000,8,5,140,134,124,88.57%,95.71%
45,80000,8,10,140,131,123,87.86%,93.57%
46,80000,8,20,140,125,120,85.71%,89.29%
47,80000,8,40,140,131,124,88.57%,93.57%
48,200000,1,5,140,136,116,82.86%,97.14%
49,200000,1,10,140,135,115,82.14%,96.43%
50,200000,1,20,140,124,104,74.29%,88.57%
51,200000,1,40,140,129,111,79.29%,92.14%
52,200000,2,5,140,134,114,81.43%,95.71%
53,200000,2,10,140,133,115,82.14%,95.00%
54,200000,2,20,140,134,110,78.57%,95.71%
